Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,Putter,Putter,04/15/2025 02:49:40,47.0,1.3,30.6,6884,-529,6904,40.5,42.3,75.5,7.2,38.4,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2,Putter,Putter,04/15/2025 02:50:07,67.1,0.9,23.5,9037,822,9074,70.4,71.5,3.1,11.2,36.5,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
3,Putter,Putter,04/15/2025 02:50:24,13.4,1.6,31.6,1536,-397,1586,3.1,6.4,0.2,0.5,29.5,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
4,Putter,Putter,04/15/2025 02:50:45,26.8,2.7,37.3,3613,-398,3635,14.1,16.3,1.7,2.8,39.9,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5,Putter,Putter,04/15/2025 02:51:05,51.4,2.1,34.9,6972,-487,6989,48.2,49.3,1.2,10.7,44.3,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
6,Putter,Putter,04/15/2025 02:51:32,20.1,1.4,31.7,1879,-925,2094,7.7,16.3,1.4,1.2,32.8,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
7,Putter,Putter,04/15/2025 02:51:56,44.7,1.6,35.6,6882,-192,6885,37.8,38.6,0.6,8.1,43.0,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
8,Putter,Putter,04/15/2025 02:52:19,44.7,-2.1,26.5,6549,-22,6549,36.4,41.1,-2.3,5.3,32.4,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
9,Putter,Putter,04/15/2025 02:52:43,51.4,1.3,30.6,7397,-180,7399,47.3,48.1,0.2,8.8,39.7,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
10,Putter,Putter,04/15/2025 02:53:00,20.1,-0.6,27.1,2640,-244,2651,6.1,14.2,-1.9,0.8,26.0,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
11,Putter,Putter,04/15/2025 02:55:23,53.7,3.7,31.6,8587,615,8609,49.7,50.0,4.4,9.9,41.8,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
12,Putter,Putter,04/15/2025 02:55:41,24.6,-0.3,33.0,2682,-644,2758,12.5,15.5,0.1,2.1,35.3,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
13,Putter,Putter,04/15/2025 02:57:09,26.8,1.4,33.1,2765,-952,2924,14.3,18.1,0.8,2.4,35.7,3.4027819931781823e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
14,9i,Iron,04/15/2025 02:58:32,91.7,1.4,22.4,6811,345,6820,119.1,128.6,303.5,22.9,44.7,78.5,80.5,1.18,-6.1,0.1,0.0,0.6,33.2,-20,-3,1951.8
15,Dr,Driver,04/15/2025 02:58:55,98.4,1.6,23.4,7008,134,7009,127.9,137.2,5.2,27.5,47.6,80.0,80.5,1.22,-4.6,2.2,1.5,1.5,33.9,3,-18,2458.5
16,9i,Iron,04/15/2025 02:59:48,94.0,3.2,22.2,8027,1285,8129,119.0,127.4,17.1,23.5,45.7,80.1,80.5,1.17,-6.6,0.2,5.3,1.2,35.7,0,-22,1891.0
17,9i,Iron,04/15/2025 03:00:06,96.2,1.7,19.0,6847,1035,6925,124.8,134.9,13.5,20.8,41.9,80.5,80.5,1.2,-5.5,2.2,3.6,1.5,34.1,5,-25,2156.1
18,9i,Iron,04/15/2025 03:00:23,94.0,5.0,18.6,6942,1602,7124,119.2,129.5,24.7,18.9,40.4,80.5,80.5,1.17,-5.9,3.2,8.0,1.2,35.7,10,-27,1816.4
19,9i,Iron,04/15/2025 03:00:42,98.4,1.1,23.3,6444,-101,6445,128.2,138.1,1.7,26.8,47.0,79.3,80.5,1.23,-5.4,0.9,-2.4,0.9,33.4,-7,-1,2476.2
20,9i,Iron,04/15/2025 03:01:02,96.2,2.4,23.3,6769,592,6795,123.7,133.1,11.1,25.6,46.6,81.4,80.5,1.17,-5.3,1.9,3.1,1.6,34.3,19,-17,2086.1
21,9i,Iron,04/15/2025 03:01:20,100.7,0.8,22.7,6683,140,6684,133.5,143.9,3.6,28.4,47.7,81.0,80.5,1.24,-6.1,1.7,1.2,0.8,32.0,8,-14,2080.3
22,9i,Iron,04/15/2025 03:01:42,100.7,1.6,23.7,7007,330,7015,133.2,143.2,7.7,30.1,49.0,81.1,80.5,1.25,-6.2,0.5,2.1,0.8,33.1,6,-9,2021.8
23,9i,Iron,04/15/2025 03:02:02,100.7,1.7,25.0,6809,95,6810,133.3,143.3,5.5,31.8,49.8,81.3,80.5,1.25,-4.9,1.9,1.7,1.5,35.0,5,-7,2246.9
24,9i,Iron,04/15/2025 03:02:26,102.9,-0.3,23.6,6559,-114,6560,137.3,148.0,-2.2,31.0,49.1,80.8,80.5,1.28,-5.2,-0.5,-1.5,-0.1,33.0,6,-7,2586.6
25,8i,Iron,04/15/2025 03:03:02,105.1,1.4,20.3,6020,220,6024,143.9,154.7,6.7,27.9,46.1,82.1,82.8,1.29,-4.6,2.1,1.7,2.0,29.0,10,-18,2036.0
26,8i,Iron,04/15/2025 03:03:25,98.4,6.9,20.2,5915,2094,6275,127.9,139.0,38.3,22.3,43.0,81.1,80.5,1.21,-5.3,0.0,0.3,1.6,28.9,19,-11,2230.2
27,8i,Iron,04/15/2025 03:03:45,107.4,-1.6,17.6,5341,-298,5349,147.4,159.6,-8.8,24.3,42.1,81.3,82.8,1.31,-5.0,1.3,-2.2,1.3,26.3,0,-19,2097.2
28,8i,Iron,04/15/2025 03:04:16,109.6,2.0,20.4,5833,-275,5839,151.1,162.7,1.7,30.5,47.2,81.4,80.5,1.35,-4.6,2.3,0.8,0.5,27.9,5,-12,2225.2
29,8i,Iron,04/15/2025 03:04:37,102.9,0.2,19.7,5748,281,5755,141.1,152.4,4.1,25.7,44.4,81.7,80.5,1.27,-5.3,-0.6,-2.0,1.7,27.6,18,-15,2329.9
